,price,rank,title,no_of_reviews,ratings,author,cover_type,year
0,15.73,1,The Lost Symbol (Robert Langdon),29033.00,4.3,Dan Brown,Hardcover,2009
1,10.14,2,The Shack: Where Tragedy Confronts Eternity,41131.00,4.6,William P. Young,Paperback,2009
2,14.76,3,Liberty and Tyranny: A Conservative Manifesto,5340.00,4.8,Mark R. Levin,Hardcover,2009
3,20.49,4,"Breaking Dawn (The Twilight Saga, Book 4)",25436.00,4.7,Stephenie Meyer,Hardcover,2009
4,6.3,5,Going Rogue: An American Life,1598.00,4.6,Sarah Palin,Hardcover,2009
5,15.37,6,StrengthsFinder 2.0,8180.00,4.1,Gallup,Hardcover,2009
6,15,7,The Help,33013.00,4.7,Kathryn Stockett,Hardcover,2009
7,16.76,8,New Moon (The Twilight Saga),21024.00,4.6,Stephenie Meyer,Paperback,2009
8,58,9,The Twilight Saga Collection,7063.00,4.7,Stephenie Meyer,Hardcover,2009
9,15.69,10,Outliers: The Story of Success,35973.00,4.6,Malcolm Gladwell,Hardcover,2009
10,20,11,Eclipse (Twilight),20418.00,4.7,Stephenie Meyer,Hardcover,2009
11,16.94,12,"Twilight (The Twilight Saga, Book 1)",35200.00,4.7,Stephenie Meyer,Paperback,2009
12,9.69,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",1429.00,4.5,Glenn Beck,Paperback,2009
13,12.19,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,4229.00,4.3,Greg Mortenson,Paperback,2009
14,12.86,15,The Love Dare,3510.00,4.8,Stephen Kendrick,Paperback,2009
15,21.49,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",8489.00,4.5,Steve Harvey,Hardcover,2009
16,11.32,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",14980.00,4.6,Jeff Kinney,Hardcover,2009
17,28.42,18,Under the Dome: A Novel,13357.00,4.4,Stephen King,Hardcover,2009
18,10.32,19,The Guernsey Literary and Potato Peel Pie Society,37114.00,4.6,Mary Ann Shaffer,Paperback,2009
19,9.73,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,958.00,4.5,David Zinczenko,Paperback,2009
20,9.62,21,Arguing with Idiots: How to Stop Small Minds and Big Government,913.00,4.6,Glenn Beck,Hardcover,2009
21,25.99,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",8221.00,4.8,Julia Child,Hardcover,2009
22,59.99,23,Sookie Stackhouse,1002.00,4.7,Charlaine Harris,Mass Market Paperback,2009
23,9.58,24,The Time Traveler's Wife,10794.00,4.4,Audrey Niffenegger,Paperback,2009
24,15.38,25,"Publication Manual of the American Psychological Association, 6th Edition",12971.00,4.5,American Psychological Association,Paperback,2009
25,10.01,26,True Compass: A Memoir,584.00,4.5,Edward M. Kennedy,Hardcover,2009
26,10.77,27,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),31500.00,4.5,Stieg Larsson,Paperback,2009
27,10.99,28,The 5000 Year Leap,2655.00,4.8,W. Cleon Skousen,Paperback,2009
28,18.29,29,Good to Great: Why Some Companies Make the Leap and Others Don't,8446.00,4.5,Jim Collins,Hardcover,2009
29,14.26,30,Eclipse (Twilight Sagas),20418.00,4.7,Stephenie Meyer,Paperback,2009
30,14.72,51,Diary of a Wimpy Kid Do-it-yourself Book,10199.00,4.8,Jeff Kinney,Hardcover,2009
31,26.67,52,Open: An Autobiography,20123.00,4.6,Andre Agassi,Hardcover,2009
32,13.49,53,Pride and Prejudice and Zombies,2780.00,4.2,Jane Austen,Paperback,2009
33,12.98,54,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,917.00,4.3,"Lifetime Television,",Paperback,2009
34,14.69,55,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,907.00,4.4,Lisa Lillien,Paperback,2009
35,19.79,56,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",23867.00,4.7,Christopher McDougall,Hardcover,2009
36,8.14,57,A Bold Fresh Piece of Humanity,860.00,4.6,Bill O'Reilly,Hardcover,2009
37,14.39,58,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,5748.00,4.8,Ree Drummond,Hardcover,2009
38,7.83,59,The Book Thief,67291.00,4.6,Markus Zusak,Paperback,2009
39,14.95,60,South of Broad,4075.00,4.5,Pat Conroy,Hardcover,2009
40,10.59,61,The Omnivore's Dilemma: A Natural History of Four Meals,5205.00,4.6,Michael Pollan,Paperback,2009
41,15.78,62,The Host,13321.00,4.6,Stephenie Meyer,Hardcover,2009
42,9.74,63,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,1038.00,4.3,Jillian Michaels,Hardcover,2009
43,13.57,64,Ford County: Stories,8113.00,4.4,John Grisham,Hardcover,2009
44,9.29,65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",1120.00,4.6,Michelle Malkin,Hardcover,2009
45,12.73,66,Blink: The Power of Thinking Without Thinking,12911.00,4.5,Malcolm Gladwell,Paperback,2009
46,12.25,67,"Diary of a Wimpy Kid, Book 1",27236.00,4.6,Jeff Kinney,Hardcover,2009
47,10.05,68,The Graveyard Book,14216.00,4.7,Neil Gaiman,Hardcover,2009
48,25.99,69,An Echo in the Bone (Outlander),34324.00,4.7,Diana Gabaldon,Hardcover,2009
49,20.99,70,"The Gathering Storm (Wheel of Time, Book 12)",12910.00,4.8,Robert Jordan,Hardcover,2009
50,10.7,71,Dreams from My Father: A Story of Race and Inheritance,10533.00,4.7,Barack Obama,Paperback,2009
51,17.88,72,Pirate Latitudes: A Novel,6636.00,4.2,Michael Crichton,Hardcover,2009
52,71.93,73,The Official SAT Study Guide: For the New SAT (tm),273.00,4.4,The College Board,Paperback,2009
53,16.7,74,Getting Things Done: The Art of Stress-Free Productivity,5249.00,4.5,David Allen,Paperback,2009
54,10.3,75,How to Win Friends & Influence People (Dale Carnegie Books),111939.00,4.7,Dale Carnegie,Paperback,2009
55,1.87,76,The Official SAT Study Guide,1558.00,4.4,The College Board,Paperback,2009
56,10.5,77,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),7303.00,4.5,Janet Evanovich,Hardcover,2009
57,10.25,78,Sarah's Key,11120.00,4.5,Tatiana de Rosnay,Paperback,2009
58,7.99,79,From Dead to Worse (Sookie Stackhouse/True Blood),3332.00,4.6,Charlaine Harris,Mass Market Paperback,2009
59,23.35,80,Wolf Hall,20011.00,4.2,Hilary Mantel,Hardcover,2009
60,22.6,81,The Hunger Games,42770.00,4.7,Suzanne Collins,Hardcover,2009
61,13.2,82,The Yankee Years,425.00,4.6,Joe Torre,Hardcover,2009
62,23.95,83,Push: A Novel,1477.00,4.6,Sapphire,Paperback,2009
63,14.95,84,The End of Overeating: Taking Control of the Insatiable American Appetite,956.00,4.3,David Kessler,Hardcover,2009
64,11.52,85,The Lacuna: A Novel,1787.00,4.3,Barbara Kingsolver,Hardcover,2009
65,17.99,86,Crucial Conversations: Tools for Talking When Stakes are High,772.00,4.5,Kerry Patterson,Paperback,2009
66,10.97,87,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,2194.00,4.7,Nicholas D. Kristof,Hardcover,2009
67,11.95,88,The Associate,3826.00,4.4,John Grisham,Hardcover,2009
68,22.72,89,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,2189.00,4.7,Jeff Hertzberg,Hardcover,2009
69,9.99,90,Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),312.00,4.5,Sarah Thomson,Paperback,2009
70,9.31,91,Pursuit of Honor,3525.00,4.7,Vince Flynn,Hardcover,2009
71,23.65,92,What the Dog Saw: And Other Adventures,2143.00,4.6,Malcolm Gladwell,Hardcover,2009
72,13.99,93,The Last Song,3597.00,4.7,Nicholas Sparks,Hardcover,2009
73,17.99,94,Atlas Shrugged,14137.00,4.5,Ayn Rand,Paperback,2009
74,10.79,95,The White Tiger: A Novel,6013.00,4.3,Aravind Adiga,Paperback,2009
75,17.89,96,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",766.00,3.5,Gallup,Hardcover,2009
76,16.14,97,Same Kind of Different As Me,4841.00,4.7,Ron Hall,Paperback,2009
77,12.85,98,U is for Undertow: A Kinsey Millhone Novel,2801.00,4.6,Sue Grafton,Hardcover,2009
78,9.49,99,Catching Fire (The Hunger Games),32459.00,4.7,Suzanne Collins,Hardcover,2009
79,12.15,1,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),25140.00,4.6,Stieg Larsson,Hardcover,2010
80,10.77,2,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),31500.00,4.5,Stieg Larsson,Paperback,2010
81,12.77,3,Decision Points,2768.00,4.6,George W. Bush,Hardcover,2010
